교육청,出現回数,ランキング
서부교육지원청,19966,1
동부교육지원청,13755,2
남부교육지원청,11378,3
서울특별시교육청,9375,4
화성오산교육지원청,8740,5
수원교육지원청,8245,6
북부교육지원청,7522,7
용인교육지원청,6061,8
고양교육지원청,5762,9
구리남양주교육지원청,5555,10
성남교육지원청,4790,11
세종특별자치시교육청,4402,12
창원교육지원청,4353,13
부천교육지원청,4295,14
강서양천교육지원청,4061,15
강동송파교육지원청,3989,16
청주교육지원청,3979,17
천안교육지원청,3933,18
제주시교육지원청,3924,19
강북교육지원청,3892,20
전주교육지원청,3806,21
경상남도교육청,3763,22
부산광역시교육청,3659,23
광주하남교육지원청,3429,24
안양과천교육지원청,3409,25
강남서초교육지원청,3339,26
평택교육지원청,3335,27
인천광역시교육청,3302,28
파주교육지원청,3169,29
안산교육지원청,3156,30
전라북도교육청,3133,31
김포교육지원청,3077,32
시흥교육지원청,3019,33
경상북도교육청,2985,34
해운대교육지원청,2824,35
대구교육청,2760,36
동작관악교육지원청,2682,37
김해교육지원청,2667,38
강남교육지원청,2607,39
의정부교육지원청,2593,40
성북강북교육지원청,2511,41
동래교육지원청,2489,42
군포의왕교육지원청,2451,43
강원도교육청,2447,44
원주교육지원청,2287,45
대전광역시교육청,2260,46
동두천양주교육지원청,2201,47
아산교육지원청,2094,48
성동광진교육지원청,1917,49
구미교육지원청,1915,50
광명교육지원청,1891,51
거제교육지원청,1884,52
광주광역시교육청,1858,53
포항교육지원청,1807,54
양산교육지원청,1751,55
충청북도교육청,1739,56
춘천교육지원청,1695,57
울산교육청,1632,58
달성교육지원청,1490,59
중부교육지원청,1460,60
순천교육지원청,1367,61
제주특별자치도교육청,1309,62
군산교육지원청,1305,63
서귀포시교육지원청,1294,64
진주교육지원청,1293,65
익산교육지원청,1177,66
논산교육지원청,1163,67
강릉교육지원청,1135,68
이천교육지원청,1034,69
서산교육지원청,1015,70
안성교육지원청,1014,71
경주교육지원청,957,72
경산교육지원청,947,73
전라남도교육청,911,74
목포교육지원청,884,75
여수교육지원청,846,76
당진교육지원청,762,77
속초양양교육청,734,78
안동교육지원청,694,79
완주교육지원청,661,80
충주교육지원청,658,81
포천교육지원청,643,82
홍성교육지원청,616,83
광양교육지원청,613,84
공주교육지원청,612,85
김천교육지원청,601,86
여주교육지원청,576,87
정읍교육지원청,569,88
동해교육지원청,518,89
나주교육지원청,513,90
양평교육지원청,510,91
통영교육지원청,482,92
영주교육지원청,463,93
예산교육지원청,450,94
제천교육지원청,436,95
칠곡교육지원청,413,96
밀양교육지원청,396,97
진천교육지원청,396,97
부여교육지원청,382,99
상주교육지원청,379,100
남원교육지원청,378,101
함안교육지원청,353,102
사천교육지원청,349,103
김제교육지원청,345,104
보령교육지원청,344,105
고창교육지원청,343,106
고성교육지원청,336,107
거창교육지원청,320,108
횡성교육지원청,314,109
음성교육지원청,310,110
무안교육지원청,308,111
서천교육지원청,298,112
태안교육지원청,295,113
삼척교육지원청,280,114
괴산증평교육지원청,257,115
가평교육지원청,252,116
철원교육지원청,251,117
홍천교육지원청,250,118
금산교육지원청,242,119
연천교육지원청,237,120
부안교육지원청,232,121
문경교육지원청,225,122
영천교육지원청,222,123
태백교육지원청,221,124
화순교육지원청,212,125
정선교육지원청,210,126
양구교육지원청,204,127
옥천교육지원청,204,127
강화교육지원청,194,129
창녕교육지원청,189,130
영광교육지원청,189,130
평창교육지원청,187,132
인제교육지원청,177,133
해남교육지원청,173,134
예천교육지원청,170,135
영동교육지원청,168,136
고흥교육지원청,166,137
영암교육지원청,155,138
보은교육지원청,148,139
영월교육지원청,140,140
단양교육지원청,137,141
완도교육지원청,135,142
강진교육지원청,134,143
장성교육지원청,131,144
합천교육지원청,129,145
보성교육지원청,128,146
함양교육지원청,127,147
화천교육지원청,127,147
무주교육지원청,120,149
남해교육지원청,118,150
담양교육지원청,118,150
진안교육지원청,117,152
순창교육지원청,109,153
임실교육지원청,107,154
울진교육지원청,106,155
고령교육지원청,102,156
의성교육지원청,101,157
청도교육지원청,100,158
청양교육지원청,95,159
봉화교육지원청,93,160
함평교육지원청,92,161
장흥교육지원청,86,162
신안교육지원청,85,163
하동교육지원청,78,164
성주교육지원청,73,165
영덕교육지원청,69,166
군위교육지원청,68,167
곡성교육지원청,66,168
산청교육지원청,66,168
구례교육지원청,61,170
영양교육지원청,60,171
장수교육지원청,59,172
진도교육지원청,54,173
청송교육지원청,53,174
의령교육지원청,53,174
울릉교육지원청,13,176
충청남도교육청,8,177
경기도교육청,2,178
