사고발생일,出現回数,ランキング
2022-05,20746,1
2022-11,17831,2
2022-04,17348,3
2022-06,16811,4
2022-10,16566,5
2022-09,16189,6
2021-06,12608,7
2021-11,12072,8
2022-12,11661,9
2021-10,10953,10
2021-04,10849,11
2022-07,10280,12
2022-03,10160,13
2021-12,9999,14
2021-09,9810,15
2021-05,9271,16
2020-11,9107,17
2021-03,9090,18
2020-10,6797,19
2022-08,6167,20
2020-07,6037,21
2021-07,5137,22
2020-06,5001,23
2020-09,3332,24
2021-08,3195,25
2020-12,2867,26
2019-12,2314,27
2020-08,1925,28
2022-01,1520,29
2020-01,1490,30
2020-02,1446,31
2020-05,899,32
2019-11,766,33
2021-01,763,34
2021-02,704,35
2022-02,699,36
2019-10,361,37
2020-04,354,38
2019-09,210,39
2020-03,142,40
2019-05,137,41
2019-06,128,42
2019-07,107,43
2019-08,92,44
2019-04,84,45
2019-03,81,46
2018-11,42,47
2018-12,33,48
2018-10,32,49
2018-06,26,50
2019-01,22,51
2018-09,20,52
2018-07,19,53
2018-05,16,54
2018-04,13,55
2018-03,13,55
2019-02,12,57
2018-08,12,57
2017-11,5,59
2017-03,5,59
2017-04,5,59
2017-06,5,59
2017-12,4,63
2017-05,4,63
2017-10,4,63
2018-02,3,66
2017-09,3,66
2017-07,3,66
2015-11,2,69
2017-08,2,69
2016-04,2,69
2018-01,2,69
2014-12,1,73
2006-07,1,73
2010-04,1,73
2009-07,1,73
2002-08,1,73
2017-02,1,73
2016-11,1,73
2016-08,1,73
2014-07,1,73
2007-09,1,73
2011-12,1,73
